id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,jenis_unggas,populasi_unggas,satuan,tahun
1,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213170,BINONG,321308,BINONG,AYAM KAMPUNG,48045.0,EKOR,2023
2,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213170,BINONG,321308,BINONG,AYAM PETELOR,0.0,EKOR,2023
3,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213170,BINONG,321308,BINONG,AYAM PEDAGING,327000.0,EKOR,2023
4,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213170,BINONG,321308,BINONG,ITIK,101980.0,EKOR,2023
5,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213220,BLANAKAN,321313,BLANAKAN,AYAM KAMPUNG,42880.0,EKOR,2023
6,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213220,BLANAKAN,321313,BLANAKAN,AYAM PETELOR,0.0,EKOR,2023
7,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213220,BLANAKAN,321313,BLANAKAN,AYAM PEDAGING,24000.0,EKOR,2023
8,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213220,BLANAKAN,321313,BLANAKAN,ITIK,45113.0,EKOR,2023
9,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213180,CIASEM,321309,CIASEM,AYAM KAMPUNG,30585.0,EKOR,2023
10,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213180,CIASEM,321309,CIASEM,AYAM PETELOR,15000.0,EKOR,2023
11,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213180,CIASEM,321309,CIASEM,AYAM PEDAGING,367000.0,EKOR,2023
12,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213180,CIASEM,321309,CIASEM,ITIK,11775.0,EKOR,2023
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213021,CIATER,321329,CIATER,AYAM KAMPUNG,24372.0,EKOR,2023
14,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213021,CIATER,321329,CIATER,AYAM PETELOR,1543.0,EKOR,2023
15,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213021,CIATER,321329,CIATER,AYAM PEDAGING,353000.0,EKOR,2023
16,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213021,CIATER,321329,CIATER,ITIK,3428.0,EKOR,2023
17,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213060,CIBOGO,321317,CIBOGO,AYAM KAMPUNG,28597.0,EKOR,2023
18,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213060,CIBOGO,321317,CIBOGO,AYAM PETELOR,4000.0,EKOR,2023
19,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213060,CIBOGO,321317,CIBOGO,AYAM PEDAGING,109800.0,EKOR,2023
20,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213060,CIBOGO,321317,CIBOGO,ITIK,6820.0,EKOR,2023
